"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.4497,0.388555555555556,0.0229053828969648,0.025450425441072
"2",2,0.423725,0.359694444444444,0.0251297014295712,0.0279218904773014
"3",3,0.454025,0.393361111111111,0.0242823641161792,0.0269804045735324
"4",4,0.480125,0.422361111111111,0.0226896468848146,0.0252107187609051
"5",5,0.490375,0.43375,0.0224687633901563,0.0249652926557292
"6",6,0.49905,0.443388888888889,0.0233408537664211,0.0259342819626901
"7",7,0.50525,0.450277777777778,0.0236917813819583,0.0263242015355092
"8",8,0.50595,0.451055555555556,0.0213194201789748,0.0236882446433053
"9",9,0.505025,0.450027777777778,0.0225504344960268,0.0250560383289187
"10",10,0.507975,0.453305555555556,0.0223541710793862,0.0248379678659846
"11",11,0.5106,0.456222222222222,0.0196950232138462,0.0218833591264958
