"","k","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.796166666666667,0.773518518518518,0.0162116036206793,0.0180128929118659
"2",2,0.7615,0.735,0.0170521512446074,0.0189468347162304
"3",3,0.762833333333333,0.736481481481482,0.0185896399277576,0.0206551554752862
"4",4,0.751333333333333,0.723703703703704,0.0193841978538391,0.0215379976153768
"5",5,0.742583333333333,0.713981481481482,0.0196135435848299,0.0217928262053666
"6",6,0.73,0.7,0.0188460185130203,0.0209400205700225
"7",7,0.720666666666667,0.68962962962963,0.0187879883368903,0.0208755425965448
"8",8,0.71375,0.681944444444444,0.0179888614962436,0.0199876238847151
"9",9,0.704083333333333,0.671203703703704,0.019821219617532,0.0220235773528134
"10",10,0.691416666666667,0.65712962962963,0.0167728656761004,0.0186365174178893
"11",11,0.6825,0.647222222222222,0.014592156608355,0.0162135073426167
