"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.6,1,0.839897727272727,0.822108585858586,0.0215339791142628,0.023926643460292
0.6,2,0.824272727272727,0.804747474747475,0.0214580028764535,0.0238422254182817
0.6,3,0.845590909090909,0.828434343434343,0.0214507388948306,0.0238341543275896
0.6,4,0.850545454545454,0.833939393939394,0.0212250745082035,0.0235834161202261
0.6,5,0.84925,0.8325,0.021694579090288,0.0241050878780978
0.6,6,0.848784090909091,0.831982323232323,0.0215047469087732,0.0238941632319702
0.6,7,0.854443181818182,0.838270202020202,0.0222239590546015,0.0246932878384461
0.6,8,0.851704545454545,0.835227272727273,0.0222279366750755,0.0246977074167506
0.6,9,0.852352272727273,0.83594696969697,0.0223265349137615,0.0248072610152905
0.6,10,0.853147727272727,0.836830808080808,0.0220738289193373,0.0245264765770415
0.6,11,0.850420454545455,0.833800505050505,0.0223616628731008,0.0248462920812231
