"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
1,1,0.797125,0.774583333333333,0.0308466750414224,0.0342740833793582
1,2,0.7873,0.763666666666667,0.0290174277135502,0.0322415863483891
1,3,0.801675,0.779638888888889,0.0315874117859209,0.0350971242065788
1,4,0.7991,0.776777777777778,0.0322785618569904,0.0358650687299894
1,5,0.800075,0.777861111111111,0.0321919266103924,0.0357688073448804
1,6,0.796925,0.774361111111111,0.0320832359305881,0.0356480399228756
1,7,0.79435,0.7715,0.0324983332905961,0.0361092592117734
1,8,0.791175,0.767972222222222,0.0331752606118877,0.0368614006798752
1,9,0.790875,0.767638888888889,0.0338103883608442,0.0375670981787158
1,10,0.787,0.763333333333333,0.0336315823792657,0.0373684248658507
1,11,0.7859,0.762111111111111,0.0341677235608891,0.0379641372898768
