"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.6,1,0.9657775,0.961975,0.00260411848440274,0.00289346498266972
0.6,2,0.95736,0.952622222222222,0.00283229036062136,0.0031469892895793
0.6,3,0.9632775,0.959197222222222,0.0028457604032538,0.00316195600361534
0.6,4,0.9606275,0.956252777777778,0.00274034001245072,0.00304482223605636
0.6,5,0.9604225,0.956025,0.00287528984046247,0.00319476648940275
0.6,6,0.95804,0.953377777777778,0.00293763458750353,0.00326403843055948
0.6,7,0.9570675,0.952297222222222,0.00294324577755082,0.00327027308616758
0.6,8,0.9549525,0.949947222222222,0.00287397214828031,0.00319330238697812
0.6,9,0.9537375,0.948597222222222,0.00304353408843646,0.00338170454270717
0.6,10,0.9522225,0.946913888888889,0.00315946050087126,0.00351051166763474
0.6,11,0.950785,0.945316666666667,0.00328141768450803,0.00364601964945336
