"k","Accuracy","Accuracy95Low","Accuracy95High"
1,1,0.999078205250517,1
2,0.95325,0.94624409229331,0.959583781384394
3,0.956,0.949177734119066,0.962145583296523
4,0.95175,0.944646566844614,0.958183772204198
5,0.95175,0.944646566844614,0.958183772204198
6,0.94125,0.933509347752872,0.948337939665965
7,0.94,0.932188201746141,0.947161073961305
8,0.93525,0.927175835197073,0.942680951168983
9,0.9295,0.921123770499623,0.937242025958709
10,0.92875,0.920335530179475,0.93653143577218
11,0.92975,0.921386574564354,0.937478831787652
12,0.9275,0.919022360957007,0.935346551468286
13,0.92575,0.917185081831652,0.933686550259208
14,0.92325,0.914562661740545,0.931312845309853
15,0.922,0.913252417821385,0.930125022438582
16,0.91825,0.90932538414214,0.926557839962381
17,0.91475,0.905664923069581,0.923223679693217
18,0.915,0.905926237633113,0.923461981524687
19,0.915,0.905926237633113,0.923461981524687
20,0.9115,0.902269818430731,0.920123763524398
21,0.90725,0.897835411958718,0.916064661234924
22,0.90325,0.893667081475925,0.912239082441796
23,0.9025,0.892886060160629,0.911521243905276
24,0.9025,0.892886060160629,0.911521243905276
25,0.8985,0.888723383210116,0.9076899924202
26,0.89875,0.888983416565511,0.907929580030602
27,0.89575,0.885864160723705,0.905053380629519
28,0.8925,0.882487713774894,0.901934742484799
29,0.89025,0.880151788818046,0.899774065176177
30,0.889,0.878854608322195,0.898573131659194
31,0.885,0.874706220003654,0.894727547674613
32,0.8835,0.873151565498037,0.89328445977522
33,0.88225,0.871856422628137,0.89208148286619
34,0.88075,0.87030272671841,0.890637433750537
35,0.879,0.868490726501529,0.888952063046139
36,0.881,0.87056164033984,0.890878144396091
37,0.87475,0.864092970375857,0.884856196726134
38,0.8755,0.864868760418952,0.885579281962714
39,0.877,0.866420703831658,0.887025088182764
40,0.87475,0.864092970375857,0.884856196726134
