"PCAthresh","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.8,1,0.732897727272727,0.703219696969697,0.0212696210662774,0.0236329122958638
0.8,2,0.721011363636364,0.690012626262626,0.0207812411507646,0.0230902679452941
0.8,3,0.742329545454545,0.713699494949495,0.0210140806484089,0.0233489784982321
0.8,4,0.742738636363636,0.71415404040404,0.0214435134593312,0.0238261260659236
0.8,5,0.7475,0.719444444444444,0.0211119465164699,0.0234577183516332
0.8,6,0.749409090909091,0.721565656565657,0.0214979990008131,0.023886665556459
0.8,7,0.749829545454545,0.722032828282828,0.0206451577344129,0.0229390641493476
0.8,8,0.750511363636364,0.722790404040404,0.0207479886105926,0.0230533206784362
0.8,9,0.750170454545455,0.722411616161616,0.0208944892432414,0.0232160991591571
0.8,10,0.749931818181818,0.722146464646465,0.0214276442800869,0.023808493644541
0.8,11,0.750647727272727,0.722941919191919,0.0214468694422859,0.0238298549358733
0.9,1,0.762568181818182,0.736186868686869,0.0206187301896124,0.0229097002106805
0.9,2,0.746761363636364,0.718623737373737,0.020704335477763,0.0230048171975145
0.9,3,0.766931818181818,0.741035353535354,0.0216084173714481,0.0240093526349423
0.9,4,0.768534090909091,0.742815656565657,0.0211425568708934,0.0234917298565482
0.9,5,0.775431818181818,0.750479797979798,0.020749524064849,0.0230550267387211
0.9,6,0.773545454545455,0.748383838383838,0.020875714467904,0.0231952382976711
0.9,7,0.773772727272727,0.748636363636364,0.0211457399023377,0.023495266558153
0.9,8,0.775011363636364,0.750012626262626,0.0217257633534484,0.0241397370593872
0.9,9,0.775795454545455,0.750883838383838,0.0208935277577651,0.0232150308419613
0.9,10,0.772647727272727,0.747386363636364,0.0210972322562572,0.0234413691736191
0.9,11,0.773363636363636,0.748181818181818,0.0205758942513424,0.0228621047237137
0.95,1,0.762909090909091,0.736565656565657,0.0208130204002643,0.0231255782225159
0.95,2,0.750329545454545,0.722588383838384,0.0213031389319738,0.0236701543688598
0.95,3,0.771318181818182,0.745909090909091,0.0205425200467258,0.0228250222741397
0.95,4,0.769704545454545,0.744116161616162,0.0203599508202402,0.0226221675780446
0.95,5,0.772897727272727,0.747664141414141,0.0210791675384147,0.0234212972649052
0.95,6,0.775602272727273,0.750669191919192,0.0214926148848562,0.0238806832053958
0.95,7,0.7775,0.752777777777778,0.0208198051315157,0.0231331168127952
0.95,8,0.778284090909091,0.75364898989899,0.0209642972373988,0.0232936635971098
0.95,9,0.775852272727273,0.75094696969697,0.0214876292055326,0.0238751435617029
0.95,10,0.775477272727273,0.750530303030303,0.0215344282889424,0.0239271425432693
0.95,11,0.775625,0.750694444444444,0.0216765659619959,0.0240850732911066
0.99,1,0.758647727272727,0.731830808080808,0.0205027087482926,0.0227807874981029
0.99,2,0.746022727272727,0.71780303030303,0.0214199658044763,0.0237999620049737
0.99,3,0.766181818181818,0.74020202020202,0.0213424713248275,0.0237138570275861
0.99,4,0.768170454545455,0.742411616161616,0.0202646752179331,0.0225163057977034
0.99,5,0.772659090909091,0.74739898989899,0.0212930999127911,0.0236589999031012
0.99,6,0.771863636363636,0.746515151515151,0.020590498165868,0.0228783312954089
0.99,7,0.775431818181818,0.750479797979798,0.0216448858220847,0.0240498731356497
0.99,8,0.775011363636364,0.750012626262626,0.021469036018782,0.0238544844653133
0.99,9,0.776772727272727,0.751969696969697,0.0214944496006844,0.0238827217785383
0.99,10,0.776409090909091,0.751565656565657,0.0213564623673605,0.0237294026304005
0.99,11,0.774034090909091,0.748926767676768,0.021431132152191,0.02381236905799
