"k","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.75555,0.728388888888889,0.032459119588252,0.0360656884313911
2,0.7449,0.716555555555556,0.0323292952804934,0.0359214392005482
3,0.758325,0.731472222222222,0.0333273015375949,0.0370303350417721
4,0.759425,0.732694444444444,0.033719440897566,0.03746604544174
5,0.760275,0.733638888888889,0.0315415180533707,0.0350461311704119
6,0.756975,0.729972222222222,0.0332247084261096,0.0369163426956773
7,0.755525,0.728361111111111,0.0334770754895545,0.0371967505439495
8,0.754625,0.727361111111111,0.0334753744481588,0.0371948604979542
9,0.75585,0.728722222222222,0.0333108674292473,0.0370120749213859
10,0.753325,0.725916666666667,0.033802335964644,0.0375581510718267
11,0.75085,0.723166666666667,0.0341608125066005,0.0379564583406672
12,0.750875,0.723194444444444,0.0339008460235303,0.0376676066928115
13,0.7488,0.720888888888889,0.0340754473354512,0.0378616081505013
14,0.74835,0.720388888888889,0.0331415734220464,0.0368239704689404
15,0.747725,0.719694444444444,0.0340806743054053,0.0378674158948947
16,0.748,0.72,0.0339198401463739,0.0376887112737487
17,0.74675,0.718611111111111,0.0340981019347933,0.0378867799275481
18,0.74545,0.717166666666667,0.0333584905067494,0.0370649894519438
19,0.7457,0.717444444444444,0.0332406628493878,0.0369340698326531
20,0.745225,0.716916666666667,0.0339367160232755,0.0377074622480839
21,0.745175,0.716861111111111,0.0333227170594209,0.0370252411771343
22,0.74475,0.716388888888889,0.0340102108850334,0.0377891232055927
23,0.742425,0.713805555555556,0.0337984323272216,0.0375538136969129
24,0.7424,0.713777777777778,0.0333596146393943,0.0370662384882159
25,0.7405,0.711666666666667,0.0337041870132217,0.0374490966813574
26,0.7394,0.710444444444444,0.0341176884719154,0.0379085427465727
27,0.739275,0.710305555555556,0.0334973983235183,0.0372193314705758
28,0.737975,0.708861111111111,0.0334530039342093,0.0371700043713436
29,0.737675,0.708527777777778,0.0332229526582652,0.0369143918425169
30,0.7367,0.707444444444444,0.0337455346840306,0.0374950385378118
31,0.734625,0.705138888888889,0.0340836898921855,0.0378707665468727
32,0.73395,0.704388888888889,0.034503582744727,0.0383373141608078
33,0.7331,0.703444444444444,0.0343774393073907,0.0381971547859897
34,0.7337,0.704111111111111,0.0342826891853276,0.0380918768725862
35,0.732675,0.702972222222222,0.0338667835463862,0.0376297594959847
36,0.732,0.702222222222222,0.0341038039585681,0.0378931155095201
37,0.7318,0.702,0.0335070059009223,0.0372300065565804
38,0.73145,0.701611111111111,0.0343055713000414,0.0381173014444904
39,0.729825,0.699805555555556,0.0340828341446737,0.0378698157163041
40,0.72915,0.699055555555556,0.0338346058873981,0.0375940065415535
41,0.728625,0.698472222222222,0.0338317425734407,0.0375908250816007
42,0.7287,0.698555555555556,0.0332546571508747,0.0369496190565275
43,0.727225,0.696916666666667,0.0336161853378201,0.0373513170420223
44,0.727075,0.69675,0.03335708528767,0.0370634280974111
45,0.726675,0.696305555555556,0.0333633302527724,0.0370703669475249
46,0.72595,0.6955,0.0338501189887946,0.037611243320883
47,0.725875,0.695416666666667,0.0334436196373007,0.0371595773747786
48,0.72535,0.694833333333333,0.0333112843743177,0.0370125381936864
49,0.725075,0.694527777777778,0.0337900071520166,0.0375444523911295
50,0.725825,0.695361111111111,0.0336532667227286,0.0373925185808096
