"PCAthresh","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.8,1,0.9439125,0.937680555555556,0.00363143803082431,0.00403493114536034
0.8,2,0.933025,0.925583333333333,0.00387371679633163,0.00430412977370181
0.8,3,0.94468,0.938533333333333,0.00394598632547151,0.0043844292505239
0.8,4,0.9428325,0.936480555555556,0.00393075400148648,0.0043675044460961
0.8,5,0.944445,0.938272222222222,0.00367244379594071,0.00408049310660079
0.8,6,0.94254,0.936155555555556,0.00395136467923208,0.00439040519914676
0.8,7,0.942945,0.936605555555556,0.00353760105327342,0.00393066783697047
0.8,8,0.941425,0.934916666666667,0.00376042322462283,0.00417824802735871
0.8,9,0.940685,0.934094444444444,0.00383689228728699,0.0042632136525411
0.8,10,0.939625,0.932916666666667,0.00375084165639034,0.00416760184043372
0.8,11,0.9388125,0.932013888888889,0.00383981254145762,0.00426645837939736
0.9,1,0.9576575,0.952952777777778,0.00289104656699356,0.00321227396332618
0.9,2,0.9470075,0.941119444444444,0.00337370532593803,0.00374856147326448
0.9,3,0.955335,0.950372222222222,0.00341421197853084,0.00379356886503426
0.9,4,0.953525,0.948361111111111,0.00335588959137439,0.00372876621263821
0.9,5,0.9542625,0.949180555555556,0.00334965228860332,0.00372183587622591
0.9,6,0.9525275,0.947252777777778,0.00327349606921278,0.00363721785468087
0.9,7,0.95197,0.946633333333333,0.00352932877700019,0.00392147641888909
0.9,8,0.950175,0.944638888888889,0.0036180488910154,0.00402005432335044
0.9,9,0.9491425,0.943491666666667,0.00355978077153835,0.00395531196837594
0.9,10,0.947695,0.941883333333333,0.00361614295887067,0.00401793662096742
0.9,11,0.946765,0.94085,0.00362890681148809,0.00403211867943121
0.95,1,0.9585875,0.953986111111111,0.00314011496122307,0.00348901662358119
0.95,2,0.9474825,0.941647222222222,0.00341384861611312,0.00379316512901458
0.95,3,0.9555425,0.950602777777778,0.0032553481636634,0.00361705351518156
0.95,4,0.95381,0.948677777777778,0.00313986263612557,0.00348873626236173
0.95,5,0.9539475,0.948830555555556,0.00333603962109796,0.00370671069010884
0.95,6,0.95219,0.946877777777778,0.00315870610257179,0.00350967344730199
0.95,7,0.9513625,0.945958333333333,0.00344259837707778,0.00382510930786421
0.95,8,0.949885,0.944316666666667,0.00357061166703517,0.00396734629670574
0.95,9,0.9485225,0.942802777777778,0.00338577964254598,0.00376197738060666
0.95,10,0.9468825,0.940980555555556,0.00360668133503991,0.00400742370559989
0.95,11,0.9454625,0.939402777777778,0.00341959870496969,0.00379955411663299
0.99,1,0.9559825,0.951091666666667,0.00318758145073197,0.00354175716747996
0.99,2,0.94571,0.939677777777778,0.00338906441009279,0.00376562712232533
0.99,3,0.9535725,0.948413888888889,0.0033731139511248,0.00374790439013866
0.99,4,0.9508475,0.945386111111111,0.00360062687443297,0.00400069652714774
0.99,5,0.95095,0.9455,0.00351008647624344,0.00390009608471494
0.99,6,0.948655,0.94295,0.00353460168773076,0.00392733520858974
0.99,7,0.947985,0.942205555555556,0.00344817694476724,0.00383130771640804
0.99,8,0.946005,0.940005555555556,0.00352694892036569,0.00391883213373965
0.99,9,0.94462,0.938466666666667,0.00362728158779708,0.00403031287533009
0.99,10,0.943035,0.936705555555556,0.00383317193336108,0.00425907992595676
0.99,11,0.9418275,0.935363888888889,0.00365298670524365,0.00405887411693739
