"n","k","t"
500,1,0.829999999999927
500,2,0.819999999999709
500,3,0.8100000000004
500,4,0.8100000000004
500,5,0.8100000000004
500,6,0.8100000000004
500,7,0.819999999999709
500,8,0.799999999999272
500,9,0.789999999999964
500,10,0.809999999999491
500,11,0.789999999999964
500,12,0.8100000000004
500,13,0.8100000000004
500,14,0.829999999999927
500,15,0.819999999999709
500,16,0.809999999999491
500,17,0.809999999999491
500,18,0.809999999999491
500,19,0.789999999999964
500,20,0.809999999999491
500,21,0.789999999999964
500,22,0.8100000000004
500,23,0.8100000000004
500,24,0.819999999999709
500,25,0.819999999999709
500,26,0.809999999999491
500,27,0.829999999999927
500,28,0.819999999999709
500,29,0.809999999999491
500,30,0.809999999999491
500,31,0.809999999999491
500,32,0.8100000000004
500,33,0.800000000000182
500,34,0.809999999999491
500,35,0.819999999999709
500,36,0.8100000000004
500,37,0.8100000000004
500,38,0.8100000000004
500,39,0.820000000000618
500,40,0.800000000000182
1000,1,4.11000000000058
1000,2,4.11999999999989
1000,3,3.97999999999956
1000,4,3.97000000000025
1000,5,3.97000000000025
1000,6,3.96000000000004
1000,7,3.97999999999956
1000,8,3.96000000000004
1000,9,3.97000000000025
1000,10,3.96000000000004
1000,11,3.96000000000004
1000,12,3.97000000000025
1000,13,3.94999999999982
1000,14,3.94999999999982
1000,15,4.07999999999993
1000,16,4.08999999999924
1000,17,4.05999999999949
1000,18,4.09000000000015
1000,19,4.09999999999945
1000,20,4.07999999999993
1000,21,4.10999999999967
1000,22,4.17000000000007
1000,23,4.14000000000033
1000,24,4.11999999999989
1000,25,4.10999999999967
1000,26,4.10999999999967
1000,27,4.11999999999989
1000,28,4.11999999999989
1000,29,4.11000000000058
1000,30,4.14000000000033
1000,31,4.1200000000008
1000,32,4.27000000000044
1000,33,4.13000000000011
1000,34,4.13000000000011
1000,35,4.13000000000011
1000,36,4.13000000000011
1000,37,3.97000000000025
1000,38,4
1000,39,4.21000000000004
1000,40,4.21000000000004
1500,1,10.7199999999993
1500,2,10.25
1500,3,10.3299999999999
1500,4,10.4700000000003
1500,5,10.46
1500,6,10.4099999999999
1500,7,10.6099999999997
1500,8,10.4499999999998
1500,9,10.5599999999995
1500,10,10.54
1500,11,10.3599999999997
1500,12,10.4299999999994
1500,13,10.4799999999996
1500,14,10.5299999999997
1500,15,10.5599999999995
1500,16,10.6000000000004
1500,17,10.5300000000007
1500,18,10.5900000000001
1500,19,10.7000000000007
1500,20,10.5100000000002
1500,21,10.5300000000007
1500,22,10.6999999999998
1500,23,10.4300000000003
1500,24,10.4200000000001
1500,25,10.4299999999994
1500,26,10.4099999999999
1500,27,10.1599999999999
1500,28,10.3299999999999
1500,29,10.4300000000003
1500,30,10.5300000000007
1500,31,10.6800000000003
1500,32,10.2700000000004
1500,33,10.5599999999995
1500,34,10.5799999999999
1500,35,10.5699999999997
1500,36,10.5599999999995
1500,37,10.5599999999995
1500,38,10.4700000000003
1500,39,10.7000000000007
1500,40,10.7200000000003
2000,1,20.5799999999999
2000,2,20.25
2000,3,20.3099999999995
2000,4,20.2799999999997
2000,5,21.2199999999993
2000,6,21.6499999999996
2000,7,20.3000000000002
2000,8,20.2700000000004
2000,9,20.3499999999995
2000,10,20.2799999999997
2000,11,20.2600000000002
2000,12,20.2799999999997
2000,13,20.25
2000,14,20.2799999999997
2000,15,20.2800000000007
2000,16,20.2600000000002
2000,17,20.2799999999997
2000,18,20.3000000000002
2000,19,20.3199999999997
2000,20,20.2699999999995
2000,21,20.2799999999997
2000,22,20.6199999999999
2000,23,20.2300000000005
2000,24,20.3300000000008
2000,25,20.2700000000004
2000,26,20.29
2000,27,20.3500000000004
2000,28,20.3000000000002
2000,29,20.2400000000007
2000,30,20.3200000000006
2000,31,21.1600000000008
2000,32,20.2800000000007
